Marca temporal,¿Como te sientes físicamente?,¿Como te sientes mentalmente?,Tu nivel de estrés en el día de hoy es:,Dia
28/12/2021 0:06:54,4,4,2,28/12/2021
28/12/2021 2:59:59,3,5,2,27/12/2021
30/12/2021 1:53:33,3,4,2,30/12/2021
31/12/2021 1:53:01,2,3,3,31/12/2021
1/01/2022 0:48:25,3,5,1,31/12/2021
1/01/2022 16:58:07,3,4,2,1/01/2022
6/01/2022 1:33:03,2,3,2,5/01/2022
9/01/2022 1:43:54,3,4,2,8/01/2022
9/01/2022 1:44:39,3,4,2,7/01/2022
9/01/2022 1:45:06,4,4,2,2/01/2022
9/01/2022 1:45:50,3,4,2,2/01/2022
9/01/2022 15:23:56,2,2,2,9/01/2022
10/01/2022 16:09:45,3,3,3,10/01/2022
11/01/2022 23:26:54,3,3,3,11/01/2022
12/01/2022 23:17:10,2,3,4,12/01/2022
20/01/2022 16:52:34,2,4,5,20/01/2022
20/01/2022 16:52:54,4,4,4,19/01/2022
20/01/2022 16:53:08,2,3,4,18/01/2022
20/01/2022 16:53:25,2,5,4,17/01/2022
24/01/2022 19:11:19,2,3,5,24/01/2022
25/01/2022 21:18:50,4,4,4,25/01/2022
26/01/2022 16:51:44,3,4,3,26/01/2022
28/01/2022 0:45:24,1,2,5,27/01/2022
28/01/2022 23:53:42,2,3,4,28/01/2022
29/01/2022 14:42:05,3,5,1,29/01/2022
31/01/2022 23:35:12,2,3,3,31/01/2022
2/02/2022 0:54:35,2,1,5,1/02/2022
3/02/2022 0:33:32,4,2,5,2/02/2022
8/02/2022 0:44:17,4,4,3,7/02/2022
8/02/2022 19:46:18,4,3,4,8/02/2022
9/02/2022 20:46:27,4,4,2,9/02/2022
14/02/2022 13:04:56,2,3,1,13/02/2022
14/02/2022 13:05:20,2,4,2,12/02/2022
14/02/2022 13:05:44,4,4,2,14/02/2022
17/02/2022 1:22:39,4,5,4,16/02/2022
21/02/2022 0:45:48,2,3,1,20/02/2022
21/02/2022 0:46:08,3,4,1,19/02/2022
21/02/2022 0:46:36,3,5,3,18/02/2022
22/02/2022 0:15:48,2,3,3,21/02/2022
23/02/2022 23:43:09,5,5,4,23/02/2022
2/03/2022 1:40:02,4,5,2,28/02/2022
2/03/2022 1:40:25,3,5,1,1/03/2022
3/03/2022 0:00:24,2,5,2,2/03/2022
4/03/2022 19:32:56,3,5,2,4/03/2022
7/03/2022 21:23:43,3,5,2,7/03/2022
10/03/2022 22:28:46,4,3,4,10/03/2022
15/03/2022 19:39:59,5,4,1,13/03/2022
15/03/2022 19:40:16,3,3,4,15/03/2022
15/03/2022 19:40:34,4,5,4,14/03/2022
19/03/2022 2:57:21,4,4,3,18/03/2022
19/03/2022 2:57:49,2,2,2,17/03/2022
19/03/2022 2:58:11,4,5,4,15/03/2022
19/03/2022 2:59:37,4,3,5,16/03/2022
28/03/2022 18:35:36,4,3,4,28/03/2022
28/03/2022 18:36:28,3,1,1,27/03/2022
28/03/2022 18:36:49,3,5,3,26/03/2022
28/03/2022 18:37:12,2,5,4,25/03/2022
31/03/2022 21:30:46,4,4,3,31/03/2022
2/04/2022 1:56:14,1,4,1,1/04/2022